 x0/64, x1/64,x2/64
 x0/64 + 0.0078125, x1/64 + 0.1640625,x2/64 + 0.015625
 x0/64 + 0.03125, x1/64 + 0.15625,x2/64
 x0/64 + 0.046875, x1/64 + 0.15625,x2/64
 x0/64 + 0.03125, x1/64 + 0.171875,x2/64
 x0/64 + 0.046875, x1/64 + 0.171875,x2/64
 x0/64 + 0.0390625, x1/64 + 0.1640625,x2/64 + 0.015625
 x0/64 + 0.015625, x1/64 + 0.140625,x2/64 + 0.03125
 x0/64 + 0.03125, x1/64 + 0.140625,x2/64 + 0.03125
 x0/64 + 0.015625, x1/64 + 0.15625,x2/64 + 0.03125
 x0/64 + 0.03125, x1/64 + 0.15625,x2/64 + 0.03125
 x0/64 + 0.0234375, x1/64 + 0.1484375,x2/64 + 0.046875
 x0/64 + 0.0625, x1/64 + 0.125,x2/64
 x0/64 + 0.078125, x1/64 + 0.125,x2/64
 x0/64 + 0.0625, x1/64 + 0.140625,x2/64
 x0/64 + 0.078125, x1/64 + 0.140625,x2/64
 x0/64 + 0.0703125, x1/64 + 0.1328125,x2/64 + 0.015625
 x0/64 + 0.09375, x1/64 + 0.125,x2/64
 x0/64 + 0.109375, x1/64 + 0.125,x2/64
 x0/64 + 0.09375, x1/64 + 0.140625,x2/64
 x0/64 + 0.109375, x1/64 + 0.140625,x2/64
 x0/64 + 0.1015625, x1/64 + 0.1328125,x2/64 + 0.015625
 x0/64 + 0.0625, x1/64 + 0.15625,x2/64
 x0/64 + 0.078125, x1/64 + 0.15625,x2/64
 x0/64 + 0.0625, x1/64 + 0.171875,x2/64
 x0/64 + 0.078125, x1/64 + 0.171875,x2/64
 x0/64 + 0.0703125, x1/64 + 0.1640625,x2/64 + 0.015625
 x0/64 + 0.09375, x1/64 + 0.15625,x2/64
 x0/64 + 0.109375, x1/64 + 0.15625,x2/64
 x0/64 + 0.09375, x1/64 + 0.171875,x2/64
 x0/64 + 0.109375, x1/64 + 0.171875,x2/64
 x0/64 + 0.1015625, x1/64 + 0.1640625,x2/64 + 0.015625
 x0/64 + 0.078125, x1/64 + 0.140625,x2/64 + 0.03125
 x0/64 + 0.09375, x1/64 + 0.140625,x2/64 + 0.03125
 x0/64 + 0.078125, x1/64 + 0.15625,x2/64 + 0.03125
 x0/64 + 0.09375, x1/64 + 0.15625,x2/64 + 0.03125
 x0/64 + 0.0859375, x1/64 + 0.1484375,x2/64 + 0.046875
 x0/64, x1/64 + 0.1875,x2/64
 x0/64 + 0.015625, x1/64 + 0.1875,x2/64
 x0/64, x1/64 + 0.203125,x2/64
 x0/64 + 0.015625, x1/64 + 0.203125,x2/64
 x0/64 + 0.0078125, x1/64 + 0.1953125,x2/64 + 0.015625
 x0/64 + 0.03125, x1/64 + 0.1875,x2/64
 x0/64 + 0.046875, x1/64 + 0.1875,x2/64
 x0/64 + 0.03125, x1/64 + 0.203125,x2/64
 x0/64 + 0.046875, x1/64 + 0.203125,x2/64
 x0/64 + 0.0390625, x1/64 + 0.1953125,x2/64 + 0.015625
 x0/64, x1/64 + 0.21875,x2/64
 x0/64 + 0.015625, x1/64 + 0.21875,x2/64
 x0/64, x1/64 + 0.234375,x2/64
 x0/64 + 0.015625, x1/64 + 0.234375,x2/64
 x0/64 + 0.0078125, x1/64 + 0.2265625,x2/64 + 0.015625
 x0/64 + 0.03125, x1/64 + 0.21875,x2/64
 x0/64 + 0.046875, x1/64 + 0.21875,x2/64
 x0/64 + 0.03125, x1/64 + 0.234375,x2/64
 x0/64 + 0.046875, x1/64 + 0.234375,x2/64
 x0/64 + 0.0390625, x1/64 + 0.2265625,x2/64 + 0.015625
 x0/64 + 0.015625, x1/64 + 0.203125,x2/64 + 0.03125
 x0/64 + 0.03125, x1/64 + 0.203125,x2/64 + 0.03125
 x0/64 + 0.015625, x1/64 + 0.21875,x2/64 + 0.03125
 x0/64 + 0.03125, x1/64 + 0.21875,x2/64 + 0.03125
 x0/64 + 0.0234375, x1/64 + 0.2109375,x2/64 + 0.046875
 x0/64 + 0.0625, x1/64 + 0.1875,x2/64
 x0/64 + 0.078125, x1/64 + 0.1875,x2/64
 x0/64 + 0.0625, x1/64 + 0.203125,x2/64
 x0/64 + 0.078125, x1/64 + 0.203125,x2/64
 x0/64 + 0.0703125, x1/64 + 0.1953125,x2/64 + 0.015625
 x0/64 + 0.09375, x1/64 + 0.1875,x2/64
 x0/64 + 0.109375, x1/64 + 0.1875,x2/64
 x0/64 + 0.09375, x1/64 + 0.203125,x2/64
 x0/64 + 0.109375, x1/64 + 0.203125,x2/64
 x0/64 + 0.1015625, x1/64 + 0.1953125,x2/64 + 0.015625
 x0/64 + 0.0625, x1/64 + 0.21875,x2/64
 x0/64 + 0.078125, x1/64 + 0.21875,x2/64
 x0/64 + 0.0625, x1/64 + 0.234375,x2/64
 x0/64 + 0.078125, x1/64 + 0.234375,x2/64
 x0/64 + 0.0703125, x1/64 + 0.2265625,x2/64 + 0.015625
 x0/64 + 0.09375, x1/64 + 0.21875,x2/64
 x0/64 + 0.109375, x1/64 + 0.21875,x2/64
 x0/64 + 0.09375, x1/64 + 0.234375,x2/64
 x0/64 + 0.109375, x1/64 + 0.234375,x2/64
 x0/64 + 0.1015625, x1/64 + 0.2265625,x2/64 + 0.015625
 x0/64 + 0.078125, x1/64 + 0.203125,x2/64 + 0.03125
 x0/64 + 0.09375, x1/64 + 0.203125,x2/64 + 0.03125
 x0/64 + 0.078125, x1/64 + 0.21875,x2/64 + 0.03125
 x0/64 + 0.09375, x1/64 + 0.21875,x2/64 + 0.03125
 x0/64 + 0.0859375, x1/64 + 0.2109375,x2/64 + 0.046875
 x0/64 + 0.03125, x1/64 + 0.15625,x2/64 + 0.0625
 x0/64 + 0.046875, x1/64 + 0.15625,x2/64 + 0.0625
 x0/64 + 0.03125, x1/64 + 0.171875,x2/64 + 0.0625
 x0/64 + 0.046875, x1/64 + 0.171875,x2/64 + 0.0625
 x0/64 + 0.0390625, x1/64 + 0.1640625,x2/64 + 0.078125
 x0/64 + 0.0625, x1/64 + 0.15625,x2/64 + 0.0625
 x0/64 + 0.078125, x1/64 + 0.15625,x2/64 + 0.0625
 x0/64 + 0.0625, x1/64 + 0.171875,x2/64 + 0.0625
 x0/64 + 0.078125, x1/64 + 0.171875,x2/64 + 0.0625
 x0/64 + 0.0703125, x1/64 + 0.1640625,x2/64 + 0.078125
 x0/64 + 0.03125, x1/64 + 0.1875,x2/64 + 0.0625
 x0/64 + 0.046875, x1/64 + 0.1875,x2/64 + 0.0625
 x0/64 + 0.03125, x1/64 + 0.203125,x2/64 + 0.0625
 x0/64 + 0.046875, x1/64 + 0.203125,x2/64 + 0.0625
 x0/64 + 0.0390625, x1/64 + 0.1953125,x2/64 + 0.078125
 x0/64 + 0.0625, x1/64 + 0.1875,x2/64 + 0.0625
 x0/64 + 0.078125, x1/64 + 0.1875,x2/64 + 0.0625
 x0/64 + 0.0625, x1/64 + 0.203125,x2/64 + 0.0625
 x0/64 + 0.078125, x1/64 + 0.203125,x2/64 + 0.0625
 x0/64 + 0.0703125, x1/64 + 0.1953125,x2/64 + 0.078125
 x0/64 + 0.046875, x1/64 + 0.171875,x2/64 + 0.09375
 x0/64 + 0.0625, x1/64 + 0.171875,x2/64 + 0.09375
 x0/64 + 0.046875, x1/64 + 0.1875,x2/64 + 0.09375
 x0/64 + 0.0625, x1/64 + 0.1875,x2/64 + 0.09375
 x0/64 + 0.0546875, x1/64 + 0.1796875,x2/64 + 0.109375
 x0/64 + 0.125, x1/64 + 0.125,x2/64
 x0/64 + 0.140625, x1/64 + 0.125,x2/64
 x0/64 + 0.125, x1/64 + 0.140625,x2/64
 x0/64 + 0.140625, x1/64 + 0.140625,x2/64
 x0/64 + 0.1328125, x1/64 + 0.1328125,x2/64 + 0.015625
 x0/64 + 0.15625, x1/64 + 0.125,x2/64
 x0/64 + 0.171875, x1/64 + 0.125,x2/64
 x0/64 + 0.15625, x1/64 + 0.140625,x2/64
 x0/64 + 0.171875, x1/64 + 0.140625,x2/64
 x0/64 + 0.1640625, x1/64 + 0.1328125,x2/64 + 0.015625
 x0/64 + 0.125, x1/64 + 0.15625,x2/64
 x0/64 + 0.140625, x1/64 + 0.15625,x2/64
 x0/64 + 0.125, x1/64 + 0.171875,x2/64
 x0/64 + 0.140625, x1/64 + 0.171875,x2/64
 x0/64 + 0.1328125, x1/64 + 0.1640625,x2/64 + 0.015625
 x0/64 + 0.15625, x1/64 + 0.15625,x2/64
 x0/64 + 0.171875, x1/64 + 0.15625,x2/64
 x0/64 + 0.15625, x1/64 + 0.171875,x2/64
 x0/64 + 0.171875, x1/64 + 0.171875,x2/64
 x0/64 + 0.1640625, x1/64 + 0.1640625,x2/64 + 0.015625
 x0/64 + 0.140625, x1/64 + 0.140625,x2/64 + 0.03125
 x0/64 + 0.15625, x1/64 + 0.140625,x2/64 + 0.03125
 x0/64 + 0.140625, x1/64 + 0.15625,x2/64 + 0.03125
 x0/64 + 0.15625, x1/64 + 0.15625,x2/64 + 0.03125
 x0/64 + 0.1484375, x1/64 + 0.1484375,x2/64 + 0.046875
 x0/64 + 0.1875, x1/64 + 0.125,x2/64
 x0/64 + 0.203125, x1/64 + 0.125,x2/64
 x0/64 + 0.1875, x1/64 + 0.140625,x2/64
 x0/64 + 0.203125, x1/64 + 0.140625,x2/64
 x0/64 + 0.1953125, x1/64 + 0.1328125,x2/64 + 0.015625
 x0/64 + 0.21875, x1/64 + 0.125,x2/64
 x0/64 + 0.234375, x1/64 + 0.125,x2/64
 x0/64 + 0.21875, x1/64 + 0.140625,x2/64
 x0/64 + 0.234375, x1/64 + 0.140625,x2/64
 x0/64 + 0.2265625, x1/64 + 0.1328125,x2/64 + 0.015625
 x0/64 + 0.1875, x1/64 + 0.15625,x2/64
 x0/64 + 0.203125, x1/64 + 0.15625,x2/64
 x0/64 + 0.1875, x1/64 + 0.171875,x2/64
 x0/64 + 0.203125, x1/64 + 0.171875,x2/64
 x0/64 + 0.1953125, x1/64 + 0.1640625,x2/64 + 0.015625
 x0/64 + 0.21875, x1/64 + 0.15625,x2/64
 x0/64 + 0.234375, x1/64 + 0.15625,x2/64
 x0/64 + 0.21875, x1/64 + 0.171875,x2/64
 x0/64 + 0.234375, x1/64 + 0.171875,x2/64
 x0/64 + 0.2265625, x1/64 + 0.1640625,x2/64 + 0.015625
 x0/64 + 0.203125, x1/64 + 0.140625,x2/64 + 0.03125
 x0/64 + 0.21875, x1/64 + 0.140625,x2/64 + 0.03125
